Latitude,Longitude,County,id
36.52,-119.28,Morongo Indian Reservation,35
35.31,-119,Napa  ,36
39.03,-122.66,Nevada  ,37
35.13,-117.28,Orange  ,38
36.34,-119.29,Placer  ,39
35.89,-119.27,Plumas  ,40
36.75,-119.76,Resighini Rancheria (Indian Reservation),41
33.13,-115.52,Riverside  ,42
35.37,-118.96,Rohnerville Rancheria (Indian Reservation),43
36.3,-119.65,Sacramento  ,44
39.09,-121.55,San Benito  ,45
36.71,-119.8,San Bernardino  ,46
36.82,-119.78,San Diego  ,47
35.2,-118.83,San Francisco  ,48
33.54,-115.22,San Joaquin  ,49
41.95,-122.64,San Luis Obispo  ,50
39.91,-122.19,San Mateo  ,51
36.39,-119.23,Santa Barbara  ,52
36.39,-119.21,Santa Clara  ,53
39.52,-121.56,Santa Cruz  ,54
32.79,-115.55,Shasta  ,55
39.48,-121.54,Sierra  ,56
33.32,-115.98,Siskiyou  ,57
33.28,-115.95,Soboba Indian Reservation,58
35.33,-119,Solano  ,59
36.33,-119.65,Sonoma  ,60
39.47,-121.54,Stanislaus  ,61
35.23,-118.82,Sutter  ,62
36.95,-120.02,Tehama  ,63
36.05,-119.12,Trinity  ,64
36.85,-119.79,Tulare  ,65
35.36,-118.96,Tule River Indian Reservation,66
37.96,-121.27,Tuolumne  ,67
36.72,-119.82,Ventura  ,68
35.59,-119.33,Yolo  ,69
37.62,-120.99,Yuba  ,70
40.17,-122.25,Yurok Indian Reservation,71
36.34,-119.31,Agua Caliente Indian Reservation,1
36.31,-119.22,Alameda  ,2
36.21,-119.37,Alpine  ,3
36.73,-119.73,Amador  ,4
36.76,-119.81,Butte  ,5
36.75,-119.75,Cahuilla Indian Reservation,6
34.14,-116.32,Calaveras  ,7
37.96,-121.27,Campo Indian Reservation,8
37.98,-121.26,Colusa  ,9
39.92,-122.19,Contra Costa  ,10
36.76,-120.38,Del Norte  ,11
40.24,-123.68,El Dorado  ,12
33.4,-115.99,Fresno  ,13
35.41,-119.03,Glenn  ,14
35.37,-118.96,Hoopa Valley Indian Reservation,15
35.65,-117.81,Hopland Rancheria (Indian Reservation),16
33.76,-118.08,Humboldt  ,17
36.56,-119.6,Imperial  ,18
33.3,-115.96,Inyo  ,19
37.36,-118.42,Karuk Reservation,20
36.32,-119.68,Kern  ,21
38.53,-121.47,Kings  ,22
37.97,-121.27,La Jolla Indian Reservation,23
41.8,-123.38,Lake  ,24
39.93,-122.2,Lassen  ,25
36.21,-119.34,Los Angeles  ,26
36.2,-119.34,Madera  ,27
36.76,-119.77,Marin  ,28
36.83,-119.69,Mariposa  ,29
35.42,-119.03,Mendocino  ,30
35.26,-118.9,Merced  ,31
33.93,-116.87,Modoc  ,32
37.95,-121.27,Mono  ,33
36.22,-119.35,Monterey  ,34
36.61,-119.54,Morongo Indian Reservation,35
35.42,-119.04,Napa  ,36
35.36,-118.95,Nevada  ,37
35.67,-119.24,Orange  ,38
35.38,-118.98,Placer  ,39
36.1,-119.57,Plumas  ,40
35.03,-117.68,Resighini Rancheria (Indian Reservation),41
39.73,-121.84,Riverside  ,42
36.81,-119.71,Rohnerville Rancheria (Indian Reservation),43
36.16,-120.1,Sacramento  ,44
36.84,-120.69,San Benito  ,45
40.47,-124.1,San Bernardino  ,46
35.73,-117.73,San Diego  ,47
38.94,-122.62,San Francisco  ,48
38.91,-122.71,San Joaquin  ,49
